繁體	简体	吳拼	備注
枝	枝	tsy1	樹枝
肢	肢	tsy1	
梔	栀	tsy1	
資	资	tsy1	
姿	姿	tsy1	
諮	咨	tsy1	
脂	脂	tsy1	
茲	兹	tsy1	
滋	滋	tsy1	
輜	辎	tsy1	
之	之	tsy1	
芝	芝	tsy1	
煮	煮	tsy3	
鼠	鼠	tsy3	又音
紫	紫	tsy3	
紙	纸	tsy3	
姊	姊	tsy3	
旨	旨	tsy3	
指	指	tsy3	
子	子	tsy3	
梓	梓	tsy3	
滓	滓	tsy3	
止	止	tsy3	
趾	趾	tsy3	
址	址	tsy3	
齒	齿	tsy3	又音
致	致	tsy5	
至	至	tsy5	
置	置	tsy5	又音
志	志	tsy5	
誌	誌	tsy5	
痣	痣	tsy5	文讀
雌	雌	tshy1	
疵	疵	tshy1	
差	差	tshy1	參差
嗤	嗤	tshy1	
此	此	tshy3	
侈	侈	tshy3	
齒	齿	tshy3	
刺	刺	tshy5	
賜	赐	tshy5	
翅	翅	tshy5	
次	次	tshy5	
廁	厕	tshy5	
池	池	dzy2	文讀
馳	驰	dzy2	
瓷	瓷	dzy2	
慈	慈	dzy2	
磁	磁	dzy2	
辭	辞	dzy2	
詞	词	dzy2	
祠	祠	dzy2	
持	持	dzy2	
滯	滞	dzy6	
雉	雉	dzy6	
稚	稚	dzy6	
痔	痔	dzy6	
梳	梳	sy1	動詞，白讀
斯	斯	sy1	
廝	厮	sy1	
撕	撕	sy1	
篩	筛	sy1	動詞
施	施	sy1	
私	私	sy1	
師	师	sy1	
獅	狮	sy1	
屍	尸	sy1	
尸	尸	sy1	
司	司	sy1	
絲	丝	sy1	
思	思	sy1	
詩	诗	sy1	
篩	筛	sy3	名詞
矢	矢	sy3	
屎	屎	sy3	
使	使	sy3	
史	史	sy3	
駛	驶	sy3	
始	始	sy3	
四	四	sy5	
肆	肆	sy5	
伺	伺	sy5	
試	试	sy5	
鋤	锄	zy2	名詞
匙	匙	zy2	鑰匙
是	是	zy2	
氏	氏	zy2	
豉	豉	zy2	
時	时	zy2	
鰣	鲥	zy2	
誓	誓	zy6	
逝	逝	zy6	
自	自	zy6	文讀
示	示	zy6	
視	视	zy6	
嗜	嗜	zy6	
字	字	zy6	
似	似	zy6	
