繁體	简体	吳拼	備注
支	支	tsy1	
枝	枝	tsy1	
肢	肢	tsy1	
梔	栀	tsy1	
資	资	tsy1	
姿	姿	tsy1	
咨	咨	tsy1	
諮	咨	tsy1	
脂	脂	tsy1	
輜	辎	tsy1	〜重
之	之	tsy1	
芝	芝	tsy1	
紫	紫	tsy3	
紙	纸	tsy3	
只	只	tsy3	〜有
祇	只	tsy3	〜有
支	支	tsy3	
枝	枝	tsy3	
肢	肢	tsy3	
梔	栀	tsy3	
旨	旨	tsy3	
指	指	tsy3	
子	子	tsy3	
梓	梓	tsy3	
滓	滓	tsy3	
止	止	tsy3	
趾	趾	tsy3	
址	址	tsy3	
至	至	tsy5	
志	志	tsy5	
誌	誌	tsy5	
痣	痣	tsy5	
雌	雌	tshy1	
疵	疵	tshy1	
差	差	tshy1	参〜
嗤	嗤	tshy1	
此	此	tshy3	
齒	齿	tshy3	
刺	刺	tshy5	
翅	翅	tshy5	
次	次	tshy5	
廁	厕	tshy5	
梳	梳	sy1	〜頭
篩	筛	sy1	
師	师	sy1	
斯	斯	sy1	
廝	厮	sy1	
撕	撕	sy1	
施	施	sy1	
私	私	sy1	
獅	狮	sy1	
矢	矢	sy1	
尸	尸	sy1	
屍	尸	sy1	
司	司	sy1	
絲	丝	sy1	
思	思	sy1	
詩	诗	sy1	
豕	豕	sy3	
死	死	sy3	文
屎	屎	sy3	
使	使	sy3	
史	史	sy3	
駛	驶	sy3	
始	始	sy3	
賜	赐	sy5	
四	四	sy5	
肆	肆	sy5	
試	试	sy5	
瓷	瓷	dzy2	
辭	辞	dzy2	
茲	兹	dzy2	
磁	磁	dzy2	
慈	慈	dzy2	
嗣	嗣	dzy6	
飼	饲	dzy6	
鋤	锄	zy2	〜头
匙	匙	zy2	
是	是	zy2	
氏	氏	zy2	
餈	餈	zy2	麻〜
時	时	zy2	
鰣	鲥	zy2	
市	市	zy2	
恃	恃	zy2	
士	士	zy2	
仕	仕	zy2	
柿	柿	zy2	
俟	俟	zy2	
祠	祠	zy2	
似	似	zy2	
祀	祀	zy2	
巳	巳	zy2	
誓	誓	zy6	
逝	逝	zy6	
豉	豉	zy6	豆〜
自	自	zy6	
示	示	zy6	
視	视	zy6	
嗜	嗜	zy6	
侍	侍	zy6	
事	事	zy6	
字	字	zy6	
牸	牸	zy6	
伺	伺	zy6	
寺	寺	zy6	
諸	诸	tsyu1	
誅	诛	tsyu1	
蛛	蛛	tsyu1	
株	株	tsyu1	
朱	朱	tsyu1	
株	株	tsyu1	
知	知	tsyu1	
蝴	蝴	tsyu1	
豬	猪	tsyu1	雄〜
豬	猪	tsyu3	
拄	拄	tsyu3	〜拐杖
主	主	tsyu3	
嘴	嘴	tsyu3	
著	著	tsyu5	显〜
褚	褚	tsyu5	姓
諸	诸	tsyu5	
駐	驻	tsyu5	
誅	诛	tsyu5	
注	注	tsyu5	
註	注	tsyu5	
蛀	蛀	tsyu5	
鑄	铸	tsyu5	
制	制	tsyu5	
製	製	tsyu5	
智	智	tsyu5	
趨	趋	tshyu1	
侈	侈	tshyu1	
吹	吹	tshyu1	
處	处	tshyu3	相〜
杵	杵	tshyu3	
鼠	鼠	tshyu3	
取	取	tshyu3	
娶	娶	tshyu3	
處	处	tshyu5	〜所
楚	楚	tshyu5	文
趣	趣	tshyu5	
書	书	syu1	
舒	舒	syu1	
須	须	syu1	
需	需	syu1	
輸	输	syu1	
暑	暑	syu3	
黍	黍	syu3	
數	数	syu3	文
水	水	syu3	
庶	庶	syu5	
恕	恕	syu5	
絮	絮	syu5	文
戍	戍	syu5	
輸	输	syu5	运〜
世	世	syu5	
勢	势	syu5	
歲	岁	syu5	
除	除	dzyu2	
鷃	鷃	dzyu2	〜麻
緒	绪	dzyu2	
廚	厨	dzyu2	
柱	柱	dzyu2	
池	池	dzyu2	
馳	驰	dzyu2	
遲	迟	dzyu2	文
雉	雉	dzyu2	文
槌	槌	dzyu2	
錘	锤	dzyu2	
箸	箸	dzyu6	〜笼
住	住	dzyu6	
滯	滞	dzyu6	
稚	稚	dzyu6	幼〜
墜	坠	dzyu6	
如	如	zyu2	
汝	汝	zyu2	
儲	储	zyu2	
序	序	zyu2	
叙	叙	zyu2	
敘	叙	zyu2	
緒	绪	zyu2	
儒	儒	zyu2	
乳	乳	zyu2	文
殊	殊	zyu2	
豎	竖	zyu2	
聚	聚	zyu2	
樹	树	zyu6	
巴	巴	pa1	文
芭	芭	pa1	文
把	把	pa3	文
擺	摆	pa3	
霸	霸	pa5	文
杷	杷	pa5	
壩	坝	pa5	文
爸	爸	pa5	
疤	疤	pa5	文
拜	拜	pa5	
怕	怕	pha5	文
派	派	pha5	
媽	妈	mha5	
戴	戴	ta5	
帶	带	ta5	
他	他	tha1	
拖	拖	tha1	
太	太	tha5	
泰	泰	tha5	
