繁體	简体	吳拼	出處	備註
支	支	tsy1	2	
枝	枝	tsy1	2	
肢	肢	tsy1	1	
資	资	tsy1	1	
貲	资	tsy1	1	
咨	咨	tsy1	2	
諮	咨	tsy1	2	
粢	粢	tsy1	1	
脂	脂	tsy1	1	
鯔	鲻	tsy1	1	
緇	缁	tsy1	2	
輜	辎	tsy1	2	
㿳	㿳	tsy1	3	黑㿳㿳
茲	兹	tsy1	2	
兹	兹	tsy1	1	
滋	滋	tsy1	1	
滓	滓	tsy1	2	
幟	帜	tsy1	2	
孳	孳	tsy1	2	
之	之	tsy1	1	
芝	芝	tsy1	1	
栀	栀	tsy1	1	
梔	栀	tsy1	1	
孜	孜	tsy1	2	
窒	窒	tsy1	4	
癡	痴	tsy1	1	「假癡假呆」中，「癡」快讀時有時讀成[tsɿ53]
痴	痴	tsy1	1	「假癡假呆」中，「癡」快讀時有時讀成[tsɿ53]
煮	煮	tsy3	1	
煑	煮	tsy3	1	
止	止	tsy3	2	
趾	趾	tsy3	2	
址	址	tsy3	1	
阯	址	tsy3	1	
子	子	tsy3	1	
仔	仔	tsy3	1	
籽	籽	tsy3	1	
紫	紫	tsy3	1	
旨	旨	tsy3	2	
指	指	tsy3	1	
紙	纸	tsy3	1	
帋	纸	tsy3	1	
梓	梓	tsy3	2	
只	只	tsy3	2	只有
祇	只	tsy3	2	只有
齒	齿	tsy3	2	牙齒
歯	齿	tsy3	2	牙齒
鼠	鼠	tsy3	1	限於「老鼠」「黃鼠狼」等
飳	飳	tsy3	3	又音 僅限於「窩飳」
至	至	tsy5	1	
致	致	tsy5	2	
緻	致	tsy5	2	
志	志	tsy5	2	
誌	志	tsy5	2	
痣	痣	tsy5	1	
嗤	嗤	tshy1	2	
差	差	tshy1	2	參差
此	此	tshy3	2	
雌	雌	tshy3	1	
齒	齿	tshy3	2	齒輪
歯	齿	tshy3	2	齒輪
疵	疵	tshy3	2	
侈	侈	tshy3	2	
次	次	tshy5	1	
粢	粢	tshy5	3	粢飯
刺	刺	tshy5	1	
翅	翅	tshy5	2	
翄	翅	tshy5	2	
廁	厕	tshy5	1	
厠	厕	tshy5	1	
瓷	瓷	dzy2	1	
兹	兹	dzy2	2	
茲	兹	dzy2	2	
磁	磁	dzy2	2	
慈	慈	dzy2	1	
辭	辞	dzy2	2	
辤	辞	dzy2	2	
詞	词	dzy2	2	
祠	祠	dzy2	2	
遲	迟	dzy2	2	新讀
遅	迟	dzy2	2	新讀
持	持	dzy2	2	新讀
池	池	dzy2	2	新讀
馳	驰	dzy2	2	新讀
嗣	嗣	dzy2	2	
峙	峙	dzy6	2	新讀
恃	恃	dzy6	2	
痔	痔	dzy6	2	新讀
稚	稚	dzy6	1	幼稚園
稺	稚	dzy6	1	幼稚園
穉	稚	dzy6	1	幼稚園
滯	滞	dzy6	2	新讀
飼	饲	dzy6	1	
飤	饲	dzy6	1	
師	师	sy1	1	
獅	狮	sy1	1	
篩	筛	sy1	1	
螄	蛳	sy1	1	
詩	诗	sy1	2	
絲	丝	sy1	1	
鷥	鸶	sy1	1	
思	思	sy1	2	
司	司	sy1	1	
笥	笥	sy1	1	土笥
屍	尸	sy1	1	
尸	尸	sy1	2	
施	施	sy1	2	
𪓿	𪓿	sy1	3	
私	私	sy1	1	
俬	私	sy1	1	
斯	斯	sy1	1	
撕	撕	sy1	2	
嘶	嘶	sy1	5	
廝	厮	sy1	2	
厮	厮	sy1	2	
始	始	sy3	2	
史	史	sy3	2	
使	使	sy3	1	
駛	驶	sy3	2	
死	死	sy3	2	文讀
梳	梳	sy3	1	白讀 梳頭
矢	矢	sy3	2	
豕	豕	sy3	2	
屎	屎	sy3	2	
賜	赐	sy5	2	
四	四	sy5	1	
亖	四	sy5	1	
𦉭	四	sy5	1	
肆	肆	sy5	2	
試	试	sy5	1	
時	时	sy5	3	僅限於「日長時久」
旹	时	sy5	3	僅限於「日長時久」
時	时	zy2	1	
旹	时	zy2	1	
鰣	鲥	zy2	1	
匙	匙	zy2	2	
鋤	锄	zy2	1	白讀
耡	锄	zy2	1	白讀
鉏	锄	zy2	1	白讀
餈	糍	zy2	3	𩞁餈
糍	糍	zy2	3	𩞁餈
俟	俟	zy2	2	
竢	俟	zy2	2	
氏	氏	zy2	2	
似	似	zy2	2	
佀	似	zy2	2	
祀	祀	zy2	2	
禩	祀	zy2	2	
視	视	zy2	2	
眡	视	zy2	2	
眎	视	zy2	2	
侍	侍	zy2	2	
逝	逝	zy2	2	
嗜	嗜	zy2	2	
誓	誓	zy2	2	
如	如	zy2	1	「譬如」及「譬如勿得」快讀时，「如」有時讀成[zɿ˨˦]
示	示	zy6	1	
士	士	zy6	1	
仕	仕	zy6	1	
市	市	zy6	1	
巳	巳	zy6	1	
柿	柿	zy6	1	
柹	柿	zy6	1	
是	是	zy6	1	
昰	是	zy6	1	
字	字	zy6	1	
事	事	zy6	2	
亊	事	zy6	2	
自	自	zy6	1	文讀
祠	祠	zy6	1	祠堂
寺	寺	zy6	1	
豉	豉	zy6	1	豆豉
豎	竖	zy6	1	「橫豎」的「豎」快讀時常讀成[zɿ˨˩˧]
竪	竖	zy6	1	「橫豎」的「豎」快讀時常讀成[zɿ˨˩˧]
慈	慈	zy6	3	又音 僅限於「粉慈慈」
支	支	tsyu1	1	量詞
朱	朱	tsyu1	1	
硃	硃	tsyu1	2	
誅	诛	tsyu1	2	
蛛	蛛	tsyu1	1	
株	株	tsyu1	1	
珠	珠	tsyu1	1	
侏	侏	tsyu1	1	短侏侏
玍	玍	tsyu1	3	俗字，玍掃帚，「生」字不出頭，表示禿義
知	知	tsyu1	2	
蜘	蜘	tsyu1	2	
智	智	tsyu1	2	
炷	炷	tsyu1	1	
諸	诸	tsyu1	2	
褚	褚	tsyu1	2	
渚	渚	tsyu1	2	
置	置	tsyu1	2	
致	致	tsyu1	3	情致
滋	滋	tsyu1	3	又音 僅限於「酸滋滋」
癡	痴	tsyu1	1	「假癡假呆」中，「癡」快讀時有時讀成[tsʮ53]
痴	痴	tsyu1	1	「假癡假呆」中，「癡」快讀時有時讀成[tsʮ53]
猪	猪	tsyu3	1	
豬	猪	tsyu3	1	
主	主	tsyu3	1	
飳	飳	tsyu3	3	窩飳
嘴	嘴	tsyu3	1	
子	子	tsyu3	1	僅限於「釘子」一詞
注	注	tsyu5	1	
註	注	tsyu5	1	
拄	拄	tsyu5	1	
蛀	蛀	tsyu5	1	
疰	疰	tsyu5	1	
鑄	铸	tsyu5	1	
鋳	铸	tsyu5	1	
制	制	tsyu5	1	
製	制	tsyu5	1	
𦥐	𦥐	tsyu5	2	𦥐鞋
㨖	㨖	tsyu5	3	㨖鞋
𩋩	𩋩	tsyu5	4	𩋩鞋
趨	趋	tshyu1	2	
痴	痴	tshyu1	2	
癡	痴	tshyu1	2	
蚩	蚩	tshyu1	2	
嗤	嗤	tshyu1	2	
𠷣	嗤	tshyu1	2	
吹	吹	tshyu1	1	白讀
處	处	tshyu1	1	處暑
處	处	tshyu3	2	相處
処	处	tshyu3	2	相處
鼠	鼠	tshyu3	2	文讀
取	取	tshyu3	1	
娶	娶	tshyu3	2	
耻	耻	tshyu3	2	
恥	耻	tshyu3	2	
處	处	tshyu5	2	到處
処	处	tshyu5	2	到處
趣	趣	tshyu5	1	
覷	觑	tshyu5	1	
覰	觑	tshyu5	1	
粢	粢	tshyu5	1	粢飯
廚	厨	dzyu2	1	
厨	厨	dzyu2	1	
櫥	橱	dzyu2	1	
橱	橱	dzyu2	1	
除	除	dzyu2	1	
錘	锤	dzyu2	1	秤錘
捶	捶	dzyu2	3	
搥	捶	dzyu2	3	
炷	炷	dzyu2	3	量詞。用於點着的香
柱	柱	dzyu6	1	
治	治	dzyu6	1	
住	住	dzyu6	1	
縋	缒	dzyu6	1	縋落
槌	槌	dzyu6	2	練槌
墜	坠	dzyu6	1	耳朵墜
滯	滞	dzyu6	1	滯膯
樹	树	dzyu6	3	僅限於「解樹螂」
書	书	syu1	1	
輸	输	syu1	2	輸贏
絮	絮	syu1	2	文讀
抒	抒	syu1	2	
庶	庶	syu1	2	
庻	庶	syu1	2	
恕	恕	syu1	2	
樞	枢	syu1	2	
舒	舒	syu1	2	
貰	贳	syu1	1	貰《廣韻》舒制切，賖也，貸也。湯版記陰平，朱版記陰去。盛益民、李旭平, 2018 認爲本字是「稅」
需	需	syu1	2	
須	须	syu1	1	文讀
尿	尿	syu1	1	白讀
⿰口舒	⿰口舒	syu1	3	音舒吸气。表示疼痛
水	水	syu3	1	白讀
暑	暑	syu3	1	
黍	黍	syu3	2	
數	数	syu3	2	數一數
世	世	syu5	1	
卋	世	syu5	1	
丗	世	syu5	1	
勢	势	syu5	1	
歲	岁	syu5	1	白讀
嵗	岁	syu5	1	白讀
歳	岁	syu5	1	白讀
戍	戍	syu5	2	
四	四	syu5	3	又音 僅限於「四圍」
如	如	zyu2	1	
儲	储	zyu2	2	
𧄔	𧄔	zyu2	2	
殊	殊	zyu2	2	
儒	儒	zyu2	2	
孺	孺	zyu2	2	
蠕	蠕	zyu2	2	
蝡	蠕	zyu2	2	
薯	薯	zyu2	1	
藷	薯	zyu2	1	
餈	糍	zyu2	1	𩞁餈
糍	糍	zyu2	1	𩞁餈
豉	豉	zyu2	2	又音
鋤	锄	zyu2	3	又音
耡	锄	zyu2	3	又音
鉏	锄	zyu2	3	又音
汝	汝	zyu6	2	
叙	叙	zyu6	2	
敘	叙	zyu6	2	
敍	叙	zyu6	2	
序	序	zyu6	2	
乳	乳	zyu6	2	
緒	绪	zyu6	2	
緖	绪	zyu6	2	
聚	聚	zyu6	1	
誰	谁	zyu6	1	誰儂
孰	孰	zyu6	3	孰儂
墅	墅	zyu6	2	
豎	竖	zyu6	1	
竪	竖	zyu6	1	
樹	树	zyu6	1	
曙	曙	zyu6	2	
署	署	zyu6	2	
篦	篦	pi1	1	
螕	螕	pi1	3	
蓖	蓖	pi1	2	
屄	屄	pi1	1	
毴	屄	pi1	1	
𣭈	𣭈	pi1	2	
婢	婢	pi1	2	小娘婢
鄙	鄙	pi1	2	
箅	箅	pi1	2	
臂	臂	pi1	2	
邊	边	pi1	1	
辺	边	pi1	1	
編	编	pi1	2	
遍	遍	pi1	2	
徧	遍	pi1	2	
蝙	蝙	pi1	1	
揙	揙	pi1	1	腳斜踢
煸	煸	pi1	1	
鞭	鞭	pi1	1	
砭	砭	pi1	1	
啚	啚	pi3	3	
比	比	pi3	1	
秕	秕	pi3	1	秕子
粃	秕	pi3	1	秕子
撥渠	拨渠	pi3	1	合音
扁	扁	pi3	1	
匾	匾	pi3	1	
鯿	鳊	pi3	1	
貶	贬	pi3	1	
庇	庇	pi5	2	
秘	秘	pi5	2	
祕	秘	pi5	2	
泌	泌	pi5	2	
閉	闭	pi5	1	
陛	陛	pi5	2	
變	变	pi5	2	
変	变	pi5	2	
批	批	phi1	1	
砒	砒	phi1	1	
披	披	phi1	1	
偏	偏	phi1	1	
篇	篇	phi1	1	
痞	痞	phi5	2	
譬	譬	phi5	1	
屁	屁	phi5	1	
庇	庇	phi5	2	又音
𠜱	𠜱	phi5	1	用刀平削
嚭	嚭	phi5	1	
片	片	phi5	1	
䏒	䏒	phi5	1	
騙	骗	phi5	1	
皮	皮	bi2	1	
琵	琵	bi2	1	
脾	脾	bi2	1	
啤	啤	bi2	2	
螷	螷	bi2	3	蛤螷
枇	枇	bi2	1	
紕	纰	bi2	1	貼紕
疲	疲	bi2	2	
肥	肥	bi2	3	糞便；肥料
婢	婢	bi2	2	奴婢
痹	痹	bi2	2	
痺	痹	bi2	2	
幣	币	bi2	2	
弊	弊	bi2	2	
微	微	bi2	4	稍微，低微
便	便	bi2	1	便宜
駢	骈	bi2	2	
卞	卞	bi2	2	
汴	汴	bi2	2	
辨	辨	bi2	2	
辯	辩	bi2	2	
蹁	蹁	bi2	1	行路時腳板歪斜
被	被	bi6	1	被頭
辮	辫	bi6	1	
牑	牑	bi6	1	磚牑
坒	坒	bi6	1	和坒
斃	毙	bi6	1	
獘	毙	bi6	1	
避	避	bi6	1	
敝	敝	bi6	2	
蔽	蔽	bi6	2	
鐾	鐾	bi6	1	
便	便	bi6	1	方便
迷	迷	mi2	2	
謎	谜	mi2	2	文讀
靡	靡	mi2	2	
糜	糜	mi2	2	
彌	弥	mi2	1	阿彌陀佛
眉	眉	mi2	1	白讀
眠	眠	mi2	1	
棉	棉	mi2	1	
綿	绵	mi2	1	
緜	绵	mi2	1	
明	明	mi2	3	又音 僅限於「明朝」
米	米	mi6	1	
尾	尾	mi6	1	白讀
㝥	㝥	mi6	1	𡬍花眼𥉻
𡬍	㝥	mi6	1	𡬍花眼𥉻
免	免	mi6	1	
娩	娩	mi6	2	
勉	勉	mi6	2	
鮸	𩾃	mi6	1	
緬	缅	mi6	2	
未	未	mi6	1	還需要很長時間；還早着
味	味	mi6	1	白讀
彌	弥	mi6	1	彌海碗
面	面	mi6	1	
靣	面	mi6	1	
麪	面	mi6	1	
麫	面	mi6	1	
麵	面	mi6	1	
麺	面	mi6	1	
咪	咪	mhi5	1	
眯	眯	mhi5	1	
瞇	眯	mhi5	1	
彌	弥	mhi5	3	僅限於「彌滿」
米	米	mhi5	3	僅限於「米米大」
面	面	mhi5	3	僅限於「面面叫」
靣	面	mhi5	3	僅限於「面面叫」
飛	飞	fi1	1	
妃	妃	fi1	1	
非	非	fi1	2	
榧	榧	fi1	1	
扉	扉	fi1	2	
霏	霏	fi1	2	
菲	菲	fi1	1	
匪	匪	fi1	2	
