繁體	简体	吳拼	備註
支	支	tsy1	
枝	枝	tsy1	
肢	肢	tsy1	
吱	吱	tsy1	
衼	衼	tsy1	
鳷	𫛛	tsy1	
資	资	tsy1	
貲	资	tsy1	
姿	姿	tsy1	
咨	咨	tsy1	
諮	咨	tsy1	
趦	趦	tsy1	
粢	粢	tsy1	
脂	脂	tsy1	
甾	甾	tsy1	古同「淄」
菑	菑	tsy1	
鯔	鲻	tsy1	
緇	缁	tsy1	
輜	辎	tsy1	
淄	淄	tsy1	
㿳	㿳	tsy1	黑㿳㿳
錙	锱	tsy1	
湽	湽	tsy1	
葘	葘	tsy1	
輺	輺	tsy1	
鍿	鍿	tsy1	
茲	兹	tsy1	
兹	兹	tsy1	
滋	滋	tsy1	
嗞	嗞	tsy1	
嵫	嵫	tsy1	
鰦	𫚤	tsy1	
滓	滓	tsy1	
幟	帜	tsy1	
孳	孳	tsy1	
之	之	tsy1	
芝	芝	tsy1	
卮	卮	tsy1	
巵	巵	tsy1	
栀	栀	tsy1	
梔	栀	tsy1	
孜	孜	tsy1	
窒	窒	tsy1	
膣	膣	tsy1	
氏	氏	tsy1	「閼氏」「月氏」
胝	胝	tsy1	
祗	祗	tsy1	
疷	疷	tsy1	
秪	秪	tsy1	
秖	祇	tsy1	古同「祇」
眦	眦	tsy1	
眥	眦	tsy1	
髭	髭	tsy1	
頾	頾	tsy1	
頿	頿	tsy1	
鮆	𫚖	tsy1	
呲	呲	tsy1	
齜	龇	tsy1	
孖	孖	tsy1	
鼒	鼒	tsy1	
鎡	镃	tsy1	
黹	黹	tsy1	
齍	齍	tsy1	
厜	厜	tsy1	
鄑	鄑	tsy1	
榰	榰	tsy1	
胑	胑	tsy1	
瓻	瓻	tsy1	
癡	痴	tsy1	「假癡假呆」中，「癡」快讀時有時讀成[tsɿ53]
痴	痴	tsy1	「假癡假呆」中，「癡」快讀時有時讀成[tsɿ53]
稵	稵	tsy1	
姕	姕	tsy1	
媊	媊	tsy1	
嫢	嫢	tsy1	
纗	𫄹	tsy1	
鴜	𪉈	tsy1	
澬	𫞚	tsy1	
蒫	蒫	tsy1	
汥	汥	tsy1	
疻	疻	tsy1	
禔	禔	tsy1	
馶	馶	tsy1	
臸	臸	tsy1	
栺	栺	tsy1	
汦	汦	tsy1	
鴲	𪉆	tsy1	
椔	椔	tsy1	
鶅	鶅	tsy1	
煮	煮	tsy3	
煑	煮	tsy3	
翥	翥	tsy3	
止	止	tsy3	
趾	趾	tsy3	
址	址	tsy3	
阯	址	tsy3	
芷	芷	tsy3	
沚	沚	tsy3	
子	子	tsy3	
仔	仔	tsy3	
籽	籽	tsy3	
耔	耔	tsy3	
虸	虸	tsy3	
紫	紫	tsy3	
旨	旨	tsy3	
指	指	tsy3	
酯	酯	tsy3	化學用字
紙	纸	tsy3	
帋	纸	tsy3	
梓	梓	tsy3	
只	只	tsy3	只有
祇	只	tsy3	只有
咫	咫	tsy3	
枳	枳	tsy3	
軹	轵	tsy3	
夂	夂	tsy3	
齒	齿	tsy3	牙齒
歯	齿	tsy3	牙齒
鼠	鼠	tsy3	限於「老鼠」「黃鼠狼」等
笫	笫	tsy3	
胏	胏	tsy3	
訾	訾	tsy3	
徵	徵	tsy3	五音之一
徴	徴	tsy3	五音之一
茈	茈	tsy3	
詝	詝	tsy3	
呰	呰	tsy3	
訿	訿	tsy3	
杍	杍	tsy3	
坁	坁	tsy3	
扺	扺	tsy3	
抧	抧	tsy3	
恉	恉	tsy3	
茋	茋	tsy3	
飳	飳	tsy3	又音 僅限於「窩飳」
啙	啙	tsy3	
恀	恀	tsy3	
汦	汦	tsy3	
厎	厎	tsy3	
洔	洔	tsy3	
茝	茝	tsy3	
至	至	tsy5	
致	致	tsy5	
緻	致	tsy5	
輊	轾	tsy5	
識	识	tsy5	標識
熾	炽	tsy5	
志	志	tsy5	
誌	志	tsy5	
痣	痣	tsy5	
摯	挚	tsy5	
贄	贽	tsy5	
鷙	鸷	tsy5	
質	质	tsy5	
觶	觯	tsy5	
躓	踬	tsy5	
胾	胾	tsy5	
啻	啻	tsy5	
𢴨	𢴨	tsy5	
懥	懥	tsy5	
恣	恣	tsy5	
娡	娡	tsy5	
倳	倳	tsy5	
剚	剚	tsy5	
杘	杘	tsy5	
駤	𫘠	tsy5	
騺	騺	tsy5	
寘	寘	tsy5	
忮	忮	tsy5	
伿	伿	tsy5	
礩	礩	tsy5	
鴲	𪉆	tsy5	
椔	椔	tsy5	
鶅	鶅	tsy5	
懫	懫	tsy5	
嗤	嗤	tshy1	
差	差	tshy1	參差
鈭	鈭	tshy1	
趑	趑	tshy1	
蠀	𧏗	tshy1	
趀	趀	tshy1	
妛	妛	tshy1	
胵	胵	tshy1	
鵄	鵄	tshy1	
姕	姕	tshy1	
胔	胔	tshy1	
