繁體	简体	清末	甬	出處（甬）	鎮	出處（鎮）	侖	出處（侖）	定	出處（定）	字頻	備註	篩選
支	支	ts	tsy1	2	tsy1	9			tsy1	11			
枝	枝	ts	tsy1	2	tsy1	9	tsy1	10	tsy1	11			
肢	肢	ts	tsy1	1	tsy1	9	tsy1	10	tsy1	11			
吱	吱	ts	tsy1	7									
衼	衼		tsy1										
鳷	𫛛		tsy1										
資	资	ts	tsy1	1	tsy1	9	tsy1	10	tsy1	11			
貲	资	ts	tsy1	1									
姿	姿	ts	tsy1	7	tsy1	9	tsy1	10	tsy1	11			
咨	咨	ts	tsy1	2	tsy1	9							
諮	咨	ts	tsy1	2	tsy1	9	tsy1	10	tsy1	11			
趦	趦	ts	tsy1	7									
粢	粢	ts	tsy1	1							0.05		
脂	脂	ts	tsy1	1	tsy3	9	tsy1	10	tsy1	11			
甾	甾	ts	tsy1	7							0.00	古同“淄”	
菑	菑	ts	tsy1	7									
鯔	鲻	ts	tsy1	1					tsy1	11			
緇	缁		tsy1	2									
輜	辎	ts	tsy1	2	tsy1	9	tsy1	10					
淄	淄	ts	tsy1	7									
㿳	㿳	ts	tsy1	3					tsy1	11		黑㿳㿳	
錙	锱		tsy1										
湽	湽		tsy1										
葘	葘		tsy1										
輺	輺		tsy1										
鍿	鍿		tsy1										
茲	兹	ts	tsy1	2			tsy1	10					
兹	兹		tsy1	1									
滋	滋	ts	tsy1	1	tsy1	9	tsy1	10					
嗞	嗞		tsy1										
嵫	嵫		tsy1										
鰦	𫚤		tsy1										
滓	滓	ts	tsy1	2	tsy1	9	tsy3	10	tsy3	11			
幟	帜	ts	tsy1	2	tsy5	9							
孳	孳	ts	tsy1	2									
之	之	ts	tsy1	1	tsy1	9	tsy1	10	tsy1	11			
芝	芝	ts	tsy1	1	tsy1	9	tsy1	10	tsy1	11			
卮	卮	ts	tsy1	7									
巵	巵		tsy1										
栀	栀		tsy1	1									
梔	栀	ts	tsy1	1	tsy1	9	tsy1	10	tsy1	11			
孜	孜	ts	tsy1	2									
窒	窒		tsy1	4									
膣	膣		tsy1										
氏	氏		tsy1								0.00	“閼氏”“月氏”	
胝	胝		tsy1										
祗	祗		tsy1	7									
疷	疷		tsy1										
秪	秪		tsy1										
秖	祇	ts	tsy1	7								古同“祇”	x
眦	眦		tsy1	7									
眥	眦	ts	tsy1	7									
髭	髭	ts	tsy1	7									
頾	頾		tsy1										
頿	頿		tsy1										
鮆	𫚖	ts	tsy1	7									
呲	呲		tsy1										
齜	龇		tsy1										
孖	孖	ts	tsy1	7									
鼒	鼒	ts	tsy1	7									
鎡	镃	ts	tsy1	7									
黹	黹	ts	tsy1	7									
齍	齍		tsy1										
厜	厜		tsy1										
鄑	鄑		tsy1										
榰	榰		tsy1										
胑	胑		tsy1										
瓻	瓻		tsy1										
癡	痴		tsy1	1							0.00	“假癡假呆”中，“癡”快讀時有時讀成[tsɿ53]	
痴	痴		tsy1	1							0.00	“假癡假呆”中，“癡”快讀時有時讀成[tsɿ53]	
煮	煮		tsy3	1	tsy3	9	tsy3	10	tsy3	11			
煑	煮	ts	tsy3	1									
翥	翥	ts	tsy3	7									
止	止	ts	tsy3	2	tsy3	9	tsy3	10	tsy3	11			
趾	趾	ts	tsy3	2	tsy3	9	tsy3	10	tsy3	11			
址	址	ts	tsy3	1	tsy3	9	tsy3	10	tsy3	11			
阯	址		tsy3	1									
芷	芷	ts	tsy3	7					tsy3	11			
沚	沚	ts	tsy3	7									
子	子	ts	tsy3	1	tsy3	9	tsy3	10	tsy3	11			
仔	仔	ts	tsy3	1					tsy3	11			
籽	籽		tsy3	1					tsy3	11			
耔	耔	ts	tsy3	7									
虸	虸	ts	tsy3	7									
紫	紫	ts	tsy3	1	tsy3	9	tsy3	10	tsy3	11			
旨	旨	ts	tsy3	2	tsy3	9	tsy3	10	tsy3	11			
指	指	ts	tsy3	1	tsy3	9	tsy3	10	tsy3	11			
