繁體	简体	吳拼	備注
爸	爸	pa1	
巴	巴	pa1	
芭	芭	pa1	~蕉
疤	疤	pa1	
襬	䙓	pa1	下~：上衣的下邊部分
叭	叭	pa1	
媽	妈	ma1	姆~
拖	拖	tha1	~小雞。~舌頭
拉	拉	la1	~手
啦	啦	la1	
渣	渣	tsa1	
齋	斋	tsa1	
抓	抓	tsa1	~住
叉	叉	tsha1	
杈	杈	tsha1	
差	差	tsha1	~別
釵	钗	tsha1	
沙	沙	sa1	
紗	纱	sa1	棉~
街	街	ka1	
揩	揩	kha1	
蛤	蛤	ha1	癩~蟆
哈	哈	ha1	
挨	挨	a1	~攏，靠邊
阿	阿	a1	語氣詞
鴉	鸦	a1	~片
爬	爬	ba2	
琶	琶	ba2	
杷	杷	ba2	
排	排	ba2	
牌	牌	ba2	
麻	麻	ma2	
痳	痳	ma2	
查	查	dza2	
茶	茶	dza2	
搽	搽	dza2	~粉
柴	柴	za2	
豺	豺	za2	~狼虎豹
茄	茄	ga2	番~，西紅柿
鞋	鞋	gha2	
擺	摆	pa3	
把	把	pa3	一~，量詞
灑	洒	sa3	
耍	耍	sa3	
解	解	ka3	
楷	楷	kha3	正~
卡	卡	kha3	
蟹	蟹	ha3	
矮	矮	a3	
買	买	ma4	
馬	马	ma4	
碼	码	ma4	
奶	奶	na4	~娘
霸	霸	pa5	
欛	欛	pa5	~柄
壩	坝	pa5	
拜	拜	pa5	
壩	壩	pa5	堤~
怕	怕	pha5	
派	派	pha5	
戴	戴	ta5	
帶	带	ta5	
太	太	tha5	
泰	泰	tha5	
他	他	tha5	
汰	汰	tha5	~潢頭：海邊的礁石地
揶	揶	na5	
哪	哪	na5	
拉	拉	la5	極~：他們
詐	诈	tsa5	
榨	榨	tsa5	
炸	炸	tsa5	
債	债	tsa5	
蔡	蔡	tsha5	
曬	晒	sa5	
啥	啥	sa5	
傻	傻	sa5	
灑	洒	sa5	
界	界	ka5	
介	介	ka5	
芥	芥	ka5	
疥	疥	ka5	~瘡
屆	届	ka5	
戒	戒	ka5	
𠨴	𠨴	ka5	放碗、菜等櫃子：~櫥
尬	尬	ka5	
阿	阿	a5	~爹，爸爸
耙	耙	ba6	
敗	败	ba6	
稗	稗	ba6	~草
賣	卖	ma6	
罵	骂	ma6	
買	买	ma6	年輕人買賣同音
大	大	da6	
𡉑	𡉑	da6	趟：走一~，走一趟。也寫埭
賴	赖	la6	抵~
癩	癞	la6	
攋	攋	la6	1、抓：指甲等把皮膚劃開：~脫一層皮。抓破一層皮2、撥拉：~柴耙，竹製有齒的耙柴草工具
