繁體	兼容格式	湯版頁碼	《阿拉宁波话》頁碼	朱版頁碼	釋義	備註	詞頻
挨排生	a ba san		229	295	形容並列排在一起		55
矮棚狗	a ban keu	68	109	430	矮腳狗	《阿拉宁波话》及朱版作「矮趽狗」。《集韻》趽，蒲庚切，說文曲脛馬也。義不合。	55
挨擠勿開	a ci vaq khe	68	230		形容非常擁擠		
挨擠弗開	a ci vaq khe			295	形容非常擁擠		55
挨埭	a da		294		順着路邊上；順着行列		55
挨頭五進	a deu ng cin		335		1. 依次；2. 按照順序		55
矮銅鼓	a don ku						
矮跍跍	a gu gu	68	226		形容矮矮的，低低的		55
矮一橛	a iq jiuq						
矮跍跍	a ku ku		226	431	形容矮矮的，低低的		55
挨攏	a lon	68			身體靠近		55
阿姆	a m		19, 25	183	1. 母親；2. 女傭		10000
阿姆阿伯勿認得	a m aq paq vaq gnin taq		286		用在動詞、形容詞加「勒」的後面，表示程度深（多用於消極方面）		
阿姆阿伯弗認得	a m aq paq vaq gnin taq				用在動詞、形容詞加「勒」的後面，表示程度深（多用於消極方面）		1
矮門	a men	68	85	430	阻擋雞狗等進入屋內的小撕欄門		55
挨面排	a mi ba		229	2	形容並列排在一起		55
挨五接頭	a ng ciq deu		335	295	依次；按照順序		55
挨五頭進	a ng deu cin		335		依次；按照順序		55
鴉片	a phi				鴉片		
鴉片鬼	a phi ciu	68			指抽鴉片成癮者，也指精神不振的人		
矮搭搭	a taq taq	68			形容矮矮的，低低的		55
矮凳	a ten	68	92	430	凳子		578
矮凳翻向	a ten fae shian						
矮墩墩	a ten ten	68			形容矮矮的，低低的		
矮中取長	a tson tshyu jian		338	431	差中選好		55
矮子桶	a tsy don		37		貶稱個子矮的人		55
矮子落深窞	a tsy loq shin dei						
矮子會長	a tsy wei jian						
靉愁愁	a zeu zeu	68	257	444	形容天陰沉沉的		55
矮牆	a zhian	68		430			
挨	a1		167	294	1. 用身體推、擠；2. 形容詞。擁擠；3. 副詞。大約；將近（一般用在整數前）		
㢊	a3	68	165	372	1. 把被子、枕頭等放在背後靠着；2. 用東西抵住		
矮	a3	68			身材短小		
阿	a5		284		很；1. 名詞前綴。常用在單音節稱謂詞前；也可用在單音節姓、名或排行前（多含有親切或隨便的意味）；2. 名詞前綴。用在其他一些成分前構成名詞（多含有鄙夷或戲謔的意味）		
靉	a5		212	443	天轉陰；雲遮住太陽		
晏晏	ae ae						
晏發人	ae faq gnin	147					55
晏貨	ae hou			304			
晏眼	ae ngae	147	289	304	晚些；等會兒		55
鴨搜食	ae seu zhiq						
晏到	ae tau		201	304	遲到		55
鴨	ae3	147					
揞	ae5		154	387	1. 拋；投擲；2. 扔；丟棄		
晏	ae5	147	267	304	遲；晚		
櫻桃	an dau	212			櫻桃		
揞掉	an diau	212			扔掉		55
鸚哥	an kou	212			鸚鵡		
阿姆	an m	212	25	183	1. 母親；2. 女傭		1000
阿姆阿伯勿認得	an m aq paq vaq gnin taq				用在動詞、形容詞加「勒」的後面，表示程度深（多用於消極方面）		
阿姆阿伯弗認得	an m aq paq vaq gnin taq				用在動詞、形容詞加「勒」的後面，表示程度深（多用於消極方面）		1
揞水爿	an syu bae				打水漂		55
揞水片	an syu phi	212	185		打水漂		55
嗯	an1			207			
㹙	an3	212	109	496	牛犢		
揞	an5	212	154	387	1. 拋；投擲；2. 扔；丟棄		
怏勃勃	aon baq baq	241	220		1. 形容惱怒、煩躁；2. 形容天氣悶熱	後綴 baq baq，《阿拉宁波话》作「勃勃」，湯版作「拔拔」。據《字語彙解》p.394。resentment 註「怨氣勃勃」ün'-kyʽi-beh-beh'。清末「拔」爲 bah，與「勃」不同音。故選擇「勃勃」。	55
怏勃幾糟	aon baq ci tsau	241	220		1. 形容惱怒、煩躁；2. 形容天氣悶熱		55
䱀顙魚	aon saon ng	242	70	434	黃顙魚，一種淡水魚，頭扁口闊，色黃，口有兩須，無鱗，背上有一硬刺		55
䱀顙魚	aon tsaon ng			434	黃顙魚，一種淡水魚，頭扁口闊，色黃，口有兩須，無鱗，背上有一硬刺		
怏躁躁	aon tsau tsau		220	227	1. 形容惱怒、煩躁；2. 形容天氣悶熱		55
咉	aon1		301	207	表示領悟		
怏	aon1	241	178	227	煩躁；惱火		
阿防	aq baon	322	291	182	恐怕；可能		55
餲𦤣氣	aq baq chi	321		495	發黴的氣味（名詞兼形容詞）		
餲𦤣幾糟	aq baq ci tsau	321		495	形容潮溼發黴的氣味和感覺		
阿爬	aq bo		291	182	恐怕；可能		55
餲𦤣𦤣	aq boq boq	321	260		形容潮溼發黴的氣味和感覺		55
餲𦤣氣	aq boq chi	321	278	495	發黴的氣味（名詞兼形容詞）		55
餲𦤣幾糟	aq boq ci tsau	321	260	495	形容潮溼發黴的氣味和感覺		55
阿婆	aq bou	321	21	184	婆婆，丈夫的母親		
阿伴	aq bun	322			乳母		55
押去	aq chi	323			押送犯人或俘虜		55
阿青阿黃	aq chin aq waon		28		指各方面都很相似或配合得很好的兩個人（含戲謔意）		418
阿缺弄	aq chiuq lon		38		豁嘴；兔脣的人		55
阿屈死	aq chiuq shi	322	31		譏罵不識貨、不內行、不講事理的人	《阿拉宁波话》作「阿曲死」。《上海方言詞典》作「阿屈死」，老派上海話「曲」、「屈」不同音，故應爲「屈」。	55
阿姊	aq ci	321			姐姐，面稱、敘稱皆可		578
阿姐	aq cia	321			1. 變調 5-31，姐姐（面稱）；2. 變調 3-35，姐姐（敘稱）		
阿姐屄	aq cia pi	321	30		娘娘腔	末字爲清音，《阿拉宁波话》作「婢」，音不合。	418
阿姐式	aq cia shiq	321			娘娘腔		55
阿姐式	aq cia soq	321			娘娘腔		55
壓進	aq cin	323	202	96	1. 被雨、雪、颱風等所阻；2. 受到牽累		
押金	aq cin	323			押金		
鴨蛋	aq dae	323	124		1. 鴨蛋；2. 零分（詼諧說法）		
