繁體	简体	吳拼	備注
之	之	tsy1	
資	资	tsy1	
姿	姿	tsy1	
咨	咨	tsy1	
諮	咨	tsy1	
滓	滓	tsy1	
滋	滋	tsy1	
輜	辎	tsy1	
支	支	tsy1	
枝	枝	tsy1	
肢	肢	tsy1	
梔	栀	tsy1	
芝	芝	tsy1	
鼠	鼠	tsy1	白讀
齒	齿	tsy1	白讀
紫	紫	tsy3	
指	指	tsy3	
紙	纸	tsy3	
子	子	tsy3	
梓	梓	tsy3	
止	止	tsy3	
趾	趾	tsy3	
址	址	tsy3	
旨	旨	tsy3	
指	指	tsy3	
脂	脂	tsy3	
至	至	tsy3	
煮	煮	tsy3	
只	只	tsy3	文讀 ～有
志	志	tsy3	縣～
誌	志	tsy3	縣～
摯	挚	tsy5	
幟	帜	tsy5	
痣	痣	tsy5	
志	志	tsy5	～向
此	此	tshy1	
雌	雌	tshy1	
齒	齿	tshy1	文讀
翅	翅	tshy3	
刺	刺	tshy5	
次	次	tshy5	
廁	厕	tshy5	
差	差	tshy5	參～
茲	兹	dzy2	
慈	慈	dzy2	
磁	磁	dzy2	
辭	辞	dzy2	
瓷	瓷	dzy2	
詞	词	dzy2	
嗣	嗣	dzy2	
師	师	sy1	
獅	狮	sy1	
私	私	sy1	
屍	尸	sy1	
尸	尸	sy1	
梳	梳	sy1	
斯	斯	sy1	
廝	厮	sy1	
撕	撕	sy1	
施	施	sy1	
司	司	sy1	
絲	丝	sy1	
思	思	sy1	
詩	诗	sy1	
篩	筛	sy1	
嘶	嘶	sy1	
駛	驶	sy3	
矢	矢	sy3	
史	史	sy3	
使	使	sy3	
始	始	sy3	
死	死	sy3	文讀
賜	赐	sy5	
四	四	sy5	
肆	肆	sy5	
試	试	sy5	
匙	匙	zy2	
時	时	zy2	
祠	祠	zy2	
耜	耜	zy2	～頭
飼	饲	zy2	
似	似	zy6	
祀	祀	zy6	
巳	巳	zy6	
市	市	zy6	
士	士	zy6	
仕	仕	zy6	
柿	柿	zy6	
恃	恃	zy6	
俟	俟	zy6	
鰣	鲥	zy6	
是	是	zy6	
氏	氏	zy6	
誓	誓	zy6	
逝	逝	zy6	
字	字	zy6	
伺	伺	zy6	
寺	寺	zy6	
事	事	zy6	
侍	侍	zy6	
示	示	zy6	
視	视	zy6	
嗜	嗜	zy6	
自	自	zy6	文讀
蓖	蓖	pi1	
媲	媲	pi1	
比	比	pi3	
鄙	鄙	pi5	
閉	闭	pi5	
祕	秘	pi5	
秘	秘	pi5	
泌	泌	pi5	
篦	篦	pi5	
臂	臂	pi5	
庇	庇	pi5	包～
批	批	phi1	
披	披	phi1	
砒	砒	phi1	
紕	纰	phi1	～漏
痞	痞	phi1	地～
否	否	phi1	～極泰來
譬	譬	phi5	
屁	屁	phi5	
皮	皮	bi2	
疲	疲	bi2	
脾	脾	bi2	
琵	琵	bi2	
枇	枇	bi2	
婢	婢	bi2	
陛	陛	bi2	
痹	痹	bi2	
俾	俾	bi2	
蔽	蔽	bi2	
幣	币	bi2	
斃	毙	bi2	
肥	肥	bi2	白讀
敝	敝	bi6	
鐾	鐾	bi6	～刀
被	被	bi6	～頭
弊	弊	bi6	
避	避	bi6	
靡	靡	mi2	
彌	弥	mi2	
糜	糜	mi2	
迷	迷	mi2	
眉	眉	mi2	白讀
謎	谜	mi2	文讀
尾	尾	mi2	白讀 ～巴
米	米	mi6	
味	味	mi6	白讀
未	未	mi6	白讀 還早～
微	微	mi5	白讀 ～～小
非	非	fi1	
飛	飞	fi1	
妃	妃	fi1	
